Room,Status,Last Cleaned,Comment
1,Clean,2023-03-26,
2,Dirty,2023-03-25,
3,Dirty,2023-03-26,
4,Dirty,2023-03-24,
5,Dirty,2023-03-23,
6,Clean,2023-03-26,
7,Dirty,2023-03-25,
8,Clean,2023-03-26,
101,Clean,2023-03-26,
102,Dirty,2023-03-25,
103,Dirty,2023-03-24,
104,Dirty,2023-03-26,Not Cleaned beacause room was locked
105,Clean,2023-03-26,
106,Clean,2023-03-27,
107,Clean,2023-03-26,
108,Clean,2023-03-26,
201,Clean,2023-03-26,
202,Dirty,2023-03-25,not cleaned
203,Clean,2023-03-26,
204,Clean,2023-03-27,
205,Clean,2023-03-26,
206,Dirty,2023-03-21,Room not cleaned due to lock
207,Dirty,2023-03-20,
208,Dirty,2023-03-19,
301,Clean,2023-03-26,
302,Clean,2023-03-26,
303,Clean,2023-03-26,
304,Dirty,2023-03-15,
305,Dirty,2023-03-14,
306,Dirty,2023-03-13,
307,Dirty,2023-03-12,
308,Dirty,2023-03-11,
401,Dirty,2023-03-10,
402,Dirty,2023-03-09,
403,Clean,2023-03-26,
404,Dirty,2023-03-07,
405,Clean,2023-03-26,
406,Dirty,2023-03-05,
407,Dirty,2023-03-04,
408,Dirty,2023-03-03,
501,Dirty,2023-03-02,
502,Dirty,2023-03-01,
503,Clean,2023-03-26,
504,Dirty,2023-02-27,Room not cleaned due to lock
505,Dirty,2023-02-26,
506,Dirty,2023-02-25,
507,Dirty,2023-02-24,
508,Clean,2023-03-26,
601,Clean,2023-03-26,
602,Dirty,2023-02-21,
603,Dirty,2023-02-20,Room not cleaned due to lock
604,Dirty,2023-02-19,
605,Dirty,2023-02-18,
606,Dirty,2023-02-17,
607,Dirty,2023-02-16,
608,Clean,2023-03-26,
